Weight,Acceleration,Model_year,target
2965,15.8,78,20.2
2910,11.4,80,32.7
1755,16.9,81,39.1
3265,18.2,79,20.2
2635,18.3,81,31.6
3940,13,79,18.5
2164,22.1,76,24.5
2045,18.5,77,31.5
2660,14,73,24
1985,16,81,34.1
2310,18.5,73,19
4951,11,73,12
3425,16.9,77,20.5
2545,17,75,24
2405,14.9,78,23.9
3672,11.5,73,14
3140,13.6,78,17
1825,12.2,76,29.5
2904,16,73,23
2100,16.5,72,27
3425,13.2,78,19.2
5140,12,71,13
3459,16,75,18
3525,19,77,18.5
2945,16.4,82,25
2506,14.5,72,23
2126,17,72,25
4363,13,73,13
4440,14,75,15
3620,18.7,78,18.6
4633,11,72,11
1875,16.4,81,39
2830,15.9,78,20.3
3190,24.8,79,27.2
2265,15.2,80,32.2
2408,19.5,72,20
4154,13.5,71,14
2189,18,72,26
3282,15,71,19
2255,17.7,76,26
2615,14.8,81,32.9
1835,20.5,70,26
3270,21.9,76,19
2725,12.6,81,23.5
1970,17.6,82,31
3465,16.6,81,17.6
2560,14.2,78,27.5
4141,14,74,16
2395,16,72,22
4456,13.5,72,12
2160,14.5,82,36
2835,14.7,82,22
2245,16.9,82,34
2720,19.4,82,31
3278,18,73,16
2155,16.5,78,30
2833,15.5,70,22
2300,14.7,78,27.2
2300,14.5,74,26
4735,11,73,13
2665,13.9,82,32
2265,15.5,73,26
2265,18.2,77,26
4952,11.5,73,12
4237,14.5,73,14
1649,16.5,74,31
1985,21.5,78,43.1
2003,19,74,32
2171,16,75,29
2984,14.5,75,18
3672,11.5,72,17
3158,19.5,75,15
4746,12,71,13
2489,15,74,24
2370,13,82,36
1968,18.8,80,38.1
2434,15,80,37
4215,12.8,76,14.5
4382,13.5,70,11
2490,15.7,81,27.2
3039,15,75,21
3060,17.1,81,20.2
3530,20.1,79,25.4
2735,18,82,27
2025,18.2,82,37
2464,15.5,76,28
2295,11.6,82,32
2350,16.8,81,32.4
2190,14.2,81,33
3015,17,82,38
1773,19,71,31
2035,22.2,76,29
2914,16,75,20
2120,15.5,80,32.1
3360,16.6,79,20.6
2215,14.9,81,34.7
2865,16.4,82,24
2391,15.5,74,26
2220,16.9,76,25
3264,16,75,19
3449,10.5,70,17
2279,19,73,20
2108,15.5,74,24
2288,17,72,28
2600,12.8,77,21.5
2620,14.4,81,25.8
3302,15.5,71,19
4335,14.5,77,16
4082,13,73,15
3230,20.4,81,28.1
3880,12.5,77,17.5
3169,12,75,13
4615,14,70,10
2525,16,82,29
2085,21.7,80,44.3
4135,13.5,72,15
2572,14.9,76,25
2144,14.7,80,41.5
3735,13.2,78,19.4
2670,16,79,28.4
2639,17,75,23
3609,8,70,14
2582,14,73,20
4042,14.5,73,14
4077,14,72,14
3520,16.4,77,17.5
1867,19.5,73,29
4376,15,70,10
2125,17.3,82,36
4274,12,72,13
2420,12.5,80,23.7
1985,16.4,77,30
2228,14,71,25
3365,15.5,78,19.9
2625,18.6,82,28
3563,10,70,15
3150,15.7,76,20
4096,13,71,14
2375,17.5,70,25
3329,15.5,71,17
1965,15,82,38
2125,14.7,82,38
3821,11,73,13
4360,14.9,79,16.9
1795,17.5,75,33
2020,19.2,79,31.8
2855,17.6,78,23.8
3420,22.2,79,23.9
1940,14.5,77,29
2190,14.1,77,30.5
3410,15.1,78,18.1
3955,13.2,79,16.5
2990,18.2,79,19.8
2702,13.5,75,24
2075,15.9,77,33.5
4654,13,73,13
2226,16.5,72,21
2451,16.5,74,26
2230,14.5,78,30.9
3755,14,76,13
3012,17.6,76,24
3210,17.2,78,19.4
3003,20.1,80,24.3
2065,14.5,71,30
3870,15,76,13
4498,14.5,75,16
2135,16.6,78,29.5
2868,15.5,73,19
4997,14,73,11
4464,11.5,71,14
1963,15.5,74,26
1937,14.2,76,29
3892,12.5,72,15
2145,18,80,33.8
2933,14.5,72,18
4215,13,76,17.5
2234,12.5,70,26
3781,17,74,16
3777,12.5,73,15
4209,12,71,14
1937,14,75,29
2515,14.8,78,21.1
1985,19.4,78,32.8
2210,14.4,81,33.7
3574,21,76,18
2700,12.9,79,26.8
2110,17.9,80,46.6
1795,17.4,76,33
1760,16.1,81,35.1
2635,16.4,81,26.6
3988,13,73,13
4955,11.5,71,12
2150,14.9,79,34.5
2648,15,70,21
2795,15.7,78,21.6
3850,8.5,70,15
4668,11.5,75,16
2050,17.3,81,37.7
2670,15,79,27.4
3086,10,70,14
1995,16.2,82,38
3381,18.7,80,19.1
3085,17.6,76,22.5
1945,16.8,77,33.5
2385,12.9,81,30
2870,18.1,80,26.4
4325,12.2,77,15.5
4699,14.5,74,13
3840,15.4,79,17
3605,15,79,19.2
2957,17,75,23
3445,13.4,78,17.7
2472,14,73,21
4294,16,72,13
2379,16.5,73,22
2800,14.4,80,27.9
2890,17.3,79,22.3
4457,13.5,74,14
2587,16,70,21
2565,13.6,76,26.5
4140,13.7,77,15.5
2671,13.5,75,25
2074,19.5,71,30
3221,13.5,75,20
1850,13.8,80,44.6
4257,15.5,74,14
3139,14.5,71,18
2155,14.8,77,30
3900,17.4,79,23
3155,18.2,78,20.5
2815,14.5,77,22
3535,19.2,78,19.2
2130,14.5,71,27
4906,12.5,73,12
2605,19.6,82,28
2158,15.5,73,24
2408,19,71,22
4220,11.1,77,16
4499,12.5,73,12
3288,15.5,71,18
2335,23.7,80,43.4
3830,15.2,79,18.2
1613,18,71,35
1950,21,73,26
1845,15.3,80,29.8
2542,17,74,25
3380,15.8,78,20.6
3433,12,70,16
3632,18,74,16
2962,13.5,71,18
2278,15.5,72,24
4502,13.5,72,13
2300,15.5,77,25.5
3730,19,75,15
3436,11,70,18
3399,11,73,15
3250,21.8,80,30
3432,21,75,15
3233,15.4,76,22
2019,16.4,80,37.2
3645,16.2,76,18.5
4425,10,70,14
3725,13.4,79,17.6
2720,13.5,77,21.5
2901,16,74,19
2945,16,73,18
2720,15.4,78,25.1
1980,15.3,82,36
2740,16,77,24.5
4422,12.5,72,13
2202,15.3,76,27
2950,19.9,80,36.4
2000,16,74,31
3613,16.5,74,18
4098,14,72,13
4295,14.9,77,15
2246,14,74,26
3193,17.8,76,17.5
4165,11.4,77,15.5
2585,14.5,82,26
4100,13,73,13
3415,15.8,81,22.4
3211,17,75,19
4060,19,77,17
2556,13.2,79,33.5
3570,12.8,78,20.2
3962,13.9,76,15.5
4638,16,74,14
3651,17.7,76,20
2592,18.5,75,23
2130,14.5,70,27
3070,16.7,78,20.8
2155,16.4,76,28
2640,18.6,82,27
2634,13,71,19
2290,17,80,32.4
2130,14.7,79,37.3
3121,16.5,73,18
4354,9,70,14
1975,19.4,81,37
3693,11.5,70,15
3504,12,70,18
