age,sex,race,marital-status,relationship,workclass,fnlwgt,education,education-num,occupation,capital-gain,capital-loss,hours-per-week,native-country,target
48,0,0,1,1,1,191277,8,16,3,0,1902,60,0,>50K
37,0,0,1,1,2,202683,5,10,5,0,0,48,0,>50K
48,1,0,2,4,2,171095,6,12,1,0,0,40,7,<=50K
32,0,1,0,3,3,249409,1,9,4,0,0,40,0,<=50K
76,0,0,1,1,2,124191,3,14,1,0,0,40,0,>50K
44,0,0,1,1,2,198282,0,13,1,15024,0,60,0,>50K
47,1,0,0,0,1,149116,3,14,3,0,0,50,0,<=50K
20,1,0,0,3,2,188300,5,10,9,0,0,40,0,<=50K
29,0,0,0,0,2,103432,1,9,10,0,0,40,0,<=50K
32,0,0,1,1,5,317660,1,9,10,7688,0,40,0,>50K
30,0,0,0,3,2,194901,2,7,2,0,0,40,0,<=50K
31,1,0,0,0,4,189265,1,9,0,0,0,40,0,<=50K
42,0,0,1,1,2,124692,1,9,2,0,0,40,0,<=50K
24,0,0,0,5,2,432376,0,13,5,0,0,40,0,<=50K
38,0,0,1,1,2,65324,10,15,3,0,0,40,0,>50K
56,0,0,1,1,1,335605,1,9,4,0,1887,50,8,>50K
28,1,0,1,2,2,377869,5,10,5,4064,0,25,0,<=50K
36,1,0,0,3,2,102864,1,9,8,0,0,40,0,<=50K
53,0,0,1,1,2,95647,4,5,2,0,0,50,0,<=50K
56,0,0,1,1,5,303090,5,10,5,0,0,50,0,<=50K
49,0,1,1,1,4,197371,9,11,10,0,0,40,0,>50K
55,0,0,1,1,2,247552,5,10,5,0,0,56,0,<=50K
22,0,0,0,0,2,102632,1,9,10,0,0,41,0,<=50K
21,1,0,0,3,2,199915,5,10,4,0,0,40,0,<=50K
40,0,0,1,1,2,118853,0,13,1,0,0,60,0,<=50K
30,0,1,0,3,2,77143,0,13,1,0,0,40,9,<=50K
29,0,0,1,1,0,267989,0,13,3,0,0,50,0,>50K
19,0,1,0,3,2,301606,5,10,4,0,0,35,0,<=50K
47,1,0,1,2,2,287828,0,13,1,0,0,40,0,>50K
20,1,0,0,3,2,111697,5,10,0,0,1719,28,0,<=50K
31,0,0,1,1,2,114937,6,12,0,0,0,40,0,>50K
39,0,0,2,0,2,365739,5,10,10,0,0,40,0,<=50K
28,1,0,0,0,2,69621,6,12,5,0,0,60,0,<=50K
24,1,0,0,0,2,43323,1,9,4,0,1762,40,0,<=50K
38,0,0,1,1,1,120985,1,9,10,4386,0,35,0,<=50K
37,0,0,1,1,2,254202,0,13,5,0,0,50,0,<=50K
46,1,1,2,0,2,146195,6,12,9,0,0,36,0,<=50K
38,0,0,1,1,3,125933,3,14,3,0,0,40,10,>50K
43,0,0,1,1,1,56920,1,9,10,0,0,60,0,<=50K
27,1,0,1,2,2,163127,9,11,0,0,0,35,0,<=50K
20,0,0,0,3,2,34310,5,10,5,0,0,20,0,<=50K
49,0,2,1,1,2,81973,5,10,10,0,0,40,0,>50K
61,0,0,1,1,5,66614,1,9,10,0,0,40,0,<=50K
27,1,0,0,3,2,232782,5,10,5,0,0,40,0,<=50K
19,0,0,0,3,2,316868,5,10,4,0,0,30,4,<=50K
45,1,0,0,0,2,196584,9,11,3,0,1564,40,0,>50K
70,0,0,0,5,2,105376,5,10,9,0,0,40,0,<=50K
31,1,1,0,4,2,185814,1,9,6,0,0,30,0,<=50K
22,0,0,1,1,2,175374,5,10,4,0,0,24,0,<=50K
36,1,0,6,4,2,108293,1,9,4,0,0,24,0,<=50K
64,0,0,1,1,2,181232,2,7,10,0,2179,40,0,<=50K
47,1,0,2,4,4,186009,5,10,0,0,0,38,4,<=50K
34,1,0,0,0,2,198183,1,9,0,0,0,40,0,<=50K
33,1,2,0,5,2,163003,0,13,1,0,0,40,11,<=50K
21,0,0,0,3,2,296158,1,9,10,0,0,35,0,<=50K
48,0,0,1,1,2,187715,1,9,10,0,0,46,0,<=50K
23,0,0,0,0,2,214542,0,13,2,0,0,40,0,<=50K
71,0,1,4,4,1,494223,5,10,5,0,1816,2,0,<=50K
29,0,0,2,0,2,191535,1,9,10,0,0,60,0,<=50K
42,0,1,4,5,2,228456,0,13,4,0,0,50,0,<=50K
25,1,0,0,4,2,252752,1,9,4,0,0,40,0,<=50K
44,1,2,2,4,5,78374,3,14,1,0,0,40,0,<=50K
28,1,2,0,0,2,88419,1,9,1,0,0,40,7,<=50K
45,0,0,1,1,1,201080,3,14,5,0,0,40,0,>50K
36,1,0,2,4,2,207157,5,10,4,0,0,40,4,<=50K
39,0,0,0,0,3,235485,6,12,1,0,0,42,0,<=50K
46,0,0,6,4,0,102628,3,14,11,0,0,40,0,<=50K
18,0,0,0,3,2,25828,2,7,2,0,0,16,0,<=50K
66,1,0,6,0,4,54826,9,11,3,0,0,20,0,<=50K
27,0,0,0,0,2,124953,1,9,4,0,1980,40,0,<=50K
28,0,0,1,1,0,175325,1,9,11,0,0,40,0,<=50K
51,0,0,1,1,2,96062,5,10,5,0,1977,40,0,>50K
27,0,0,0,0,2,428030,0,13,10,0,0,50,0,<=50K
28,0,0,1,1,0,149624,0,13,3,0,0,40,0,>50K
27,1,0,3,4,2,253814,1,9,5,0,0,25,0,<=50K
21,0,1,0,3,2,312956,1,9,10,0,0,40,0,<=50K
34,0,1,0,0,2,483777,1,9,2,0,0,40,0,<=50K
18,0,0,0,3,2,183930,1,9,4,0,0,12,0,<=50K
33,0,0,1,1,2,37274,0,13,3,0,0,65,0,<=50K
44,0,1,1,1,4,181344,5,10,1,0,0,38,0,>50K
43,1,0,2,0,2,114580,5,10,0,0,0,40,0,<=50K
30,0,1,0,0,2,633742,5,10,10,0,0,45,0,<=50K
40,0,0,1,1,2,286370,7,4,8,0,0,40,4,>50K
37,0,0,1,1,3,29054,5,10,0,0,0,42,0,>50K
34,0,1,1,1,2,304030,1,9,0,0,0,40,0,<=50K
41,1,0,2,0,1,143129,0,13,1,0,0,40,0,<=50K
31,1,0,1,2,2,99928,3,14,3,0,0,50,0,<=50K
58,0,0,1,1,0,109567,8,16,3,0,0,1,0,>50K
38,1,1,2,0,2,155222,5,10,8,0,0,28,0,<=50K
24,0,0,1,1,2,159567,5,10,8,0,0,40,0,<=50K
41,0,1,1,1,4,523910,0,13,10,0,0,40,0,<=50K
47,0,0,1,1,2,120939,5,10,9,0,0,45,0,<=50K
41,0,0,1,1,3,130760,0,13,9,0,0,24,0,<=50K
23,0,0,1,5,2,197387,11,3,6,0,0,40,4,<=50K
36,0,0,2,0,2,99374,5,10,10,0,0,40,0,<=50K
40,1,0,0,0,3,56795,3,14,1,14084,0,55,0,>50K
35,0,0,1,5,2,138992,3,14,3,7298,0,40,0,>50K
24,0,0,0,0,1,32921,1,9,5,0,0,40,0,<=50K
26,1,0,0,0,2,397317,3,14,3,0,1876,40,0,<=50K
51,0,0,1,1,2,259323,0,13,1,0,0,50,0,>50K
42,1,0,0,0,4,254817,5,10,3,0,1340,40,0,<=50K
37,1,0,2,4,0,48211,1,9,0,0,0,35,0,<=50K
18,1,0,0,3,2,140164,2,7,5,0,0,40,0,<=50K
36,0,1,1,1,2,128757,0,13,4,7298,0,36,0,>50K
35,0,0,2,0,2,36270,1,9,10,0,0,60,0,<=50K
58,1,0,1,2,5,210563,1,9,5,15024,0,35,0,>50K
17,1,0,0,3,2,65368,2,7,5,0,0,12,0,<=50K
44,0,1,1,1,4,160943,1,9,6,0,0,40,0,<=50K
37,0,0,1,1,2,208358,1,9,10,0,0,40,0,>50K
35,1,3,0,0,2,153790,5,10,5,0,0,40,0,<=50K
60,0,2,1,1,2,85815,1,9,10,0,0,40,0,<=50K
54,0,0,1,1,5,125417,7,4,8,0,0,40,0,>50K
37,0,1,0,0,2,635913,0,13,1,0,0,60,0,>50K
50,1,0,2,0,2,313321,6,12,5,0,0,40,0,<=50K
38,0,0,1,1,2,182609,0,13,5,0,0,50,12,<=50K
45,0,0,1,1,2,109434,0,13,3,0,0,55,0,<=50K
25,0,0,0,0,2,255004,12,6,10,0,0,40,0,<=50K
31,0,0,1,1,2,197860,5,10,2,0,0,40,0,<=50K
90,0,1,0,0,2,51744,1,9,4,0,2206,40,0,<=50K
54,0,1,1,1,2,176681,1,9,0,0,0,20,0,<=50K
53,1,0,0,0,4,140359,13,1,8,0,0,35,0,<=50K
18,1,0,0,3,2,243313,1,9,5,0,0,40,0,<=50K
66,0,0,1,1,1,167687,1,9,7,1409,0,50,0,<=50K
75,1,0,6,0,2,314209,9,11,0,0,0,20,13,<=50K
65,1,0,2,0,2,176796,1,9,0,0,0,40,0,<=50K
35,0,1,4,0,2,538583,2,7,6,3674,0,40,0,<=50K
41,1,1,2,4,2,130408,1,9,5,0,0,38,0,<=50K
25,0,0,0,0,2,159732,5,10,0,0,0,42,0,<=50K
33,1,4,2,5,2,110978,5,10,10,0,0,40,0,<=50K
28,0,0,0,0,2,76714,10,15,3,0,0,55,0,>50K
59,0,0,1,1,0,268700,1,9,4,0,0,40,0,<=50K
40,1,0,0,0,0,170525,5,10,0,0,0,38,0,<=50K
41,0,0,1,1,2,180138,0,13,1,0,0,50,10,>50K
38,0,0,1,1,4,115076,3,14,1,0,0,70,0,>50K
23,0,0,0,3,2,115458,1,9,6,0,0,40,0,<=50K
40,0,0,1,1,2,347890,0,13,3,0,0,40,0,>50K
41,1,0,1,2,1,196001,1,9,4,0,0,20,0,<=50K
24,0,0,1,1,0,273905,6,12,11,0,0,50,0,<=50K
38,0,0,2,0,2,179488,5,10,10,0,1741,40,0,<=50K
58,0,0,1,1,2,236596,1,9,0,0,0,45,0,>50K
32,1,0,0,0,2,183916,1,9,4,0,0,34,0,<=50K
40,0,0,1,1,2,207578,6,12,9,0,1977,60,0,>50K
41,1,0,1,2,2,112763,10,15,3,0,0,40,0,>50K
42,1,1,1,2,2,390781,0,13,0,0,0,40,0,<=50K
59,1,1,6,4,4,171328,12,6,4,0,0,30,0,<=50K
19,0,0,0,3,4,27382,5,10,0,0,0,40,0,<=50K
58,0,0,0,0,2,259014,5,10,6,0,0,20,0,<=50K
42,0,2,1,1,1,303044,1,9,7,0,0,40,14,>50K
20,1,0,0,3,2,117789,1,9,4,0,0,40,0,<=50K
32,1,0,4,0,2,172579,1,9,4,0,0,30,0,<=50K
45,1,0,6,0,2,187666,9,11,1,0,0,45,0,<=50K
50,0,0,2,0,2,204518,7,4,10,0,0,40,0,<=50K
36,1,0,2,3,2,150042,0,13,3,0,0,40,0,<=50K
45,0,0,1,1,2,98092,1,9,5,0,0,60,0,<=50K
17,0,0,0,3,2,245918,2,7,4,0,0,12,0,<=50K
59,0,0,1,1,2,146013,5,10,5,4064,0,40,0,<=50K
26,0,0,1,1,2,378322,2,7,10,0,0,40,0,<=50K
37,0,2,1,1,5,257295,5,10,1,0,0,75,15,>50K
64,0,0,1,1,2,21174,1,9,1,0,0,40,0,>50K
33,1,0,0,0,2,185480,0,13,3,0,0,45,0,<=50K
33,1,0,1,2,2,222205,1,9,10,0,0,40,0,>50K
61,0,0,1,1,2,69867,1,9,1,0,0,40,0,>50K
17,0,0,0,3,2,191260,4,5,4,1055,0,24,0,<=50K
50,0,0,1,1,1,30653,3,14,7,2407,0,98,0,<=50K
27,0,0,0,3,4,209109,3,14,3,0,0,35,0,<=50K
30,1,0,2,3,2,70377,1,9,3,0,0,40,0,<=50K
43,0,1,1,1,2,477983,1,9,2,0,0,40,0,<=50K
44,0,0,1,1,2,170924,5,10,10,7298,0,40,0,>50K
35,1,0,0,0,2,190174,5,10,1,0,0,40,0,<=50K
25,1,0,0,3,2,193787,5,10,9,0,0,40,0,<=50K
24,1,0,1,2,2,279472,5,10,8,7298,0,48,0,>50K
22,1,0,0,0,2,34918,0,13,3,0,0,15,9,<=50K
42,0,0,1,1,4,97688,5,10,10,5178,0,40,0,>50K
34,1,1,2,4,2,175413,6,12,5,0,0,45,0,<=50K
60,1,0,2,0,2,173960,0,13,3,0,0,42,0,<=50K
21,0,0,0,3,2,205759,1,9,2,0,0,40,0,<=50K
57,0,0,1,1,3,425161,3,14,5,15024,0,40,0,>50K
41,0,0,1,1,2,220531,10,15,3,0,0,60,0,>50K
50,0,0,2,0,2,176609,5,10,4,0,0,45,0,<=50K
25,1,0,0,0,2,371987,0,13,1,0,0,40,0,<=50K
50,0,0,1,1,2,193884,7,4,10,0,0,40,16,<=50K
36,0,0,1,1,2,200352,0,13,3,0,0,45,0,<=50K
31,1,0,2,0,2,127595,1,9,3,0,0,40,0,<=50K
29,0,0,0,0,4,220419,0,13,11,0,0,56,0,<=50K
21,0,0,0,3,2,231931,5,10,5,0,0,45,0,<=50K
27,1,1,0,4,2,248402,0,13,9,0,0,40,0,<=50K
65,0,0,1,1,2,111095,1,9,6,0,0,16,0,<=50K
37,1,0,2,0,5,57424,0,13,5,0,0,60,0,<=50K
24,0,0,0,3,2,278130,1,9,10,0,0,40,0,<=50K
38,0,0,2,0,2,169469,1,9,5,0,0,80,0,<=50K
48,0,0,1,1,2,146268,0,13,0,7688,0,40,0,>50K
21,1,2,0,0,2,153718,5,10,4,0,0,25,0,<=50K
31,0,0,1,1,2,217460,1,9,6,0,0,45,0,>50K
55,0,0,1,1,2,238638,1,9,5,4386,0,40,0,>50K
24,1,2,1,2,2,303296,5,10,0,0,0,40,17,<=50K
43,1,0,2,0,2,173321,1,9,0,0,0,40,0,<=50K
26,0,0,0,0,2,193945,6,12,9,0,0,45,0,<=50K
46,1,0,0,0,2,83082,6,12,3,0,0,33,0,<=50K
35,0,0,1,1,2,193815,6,12,0,0,0,40,0,>50K
41,0,0,1,1,5,34987,5,10,7,0,0,54,0,>50K
26,0,0,0,0,2,59306,0,13,5,0,0,40,0,<=50K
34,0,2,1,1,2,142897,3,14,1,7298,0,35,18,>50K
36,1,1,2,0,1,205607,0,13,3,0,0,40,0,>50K
22,0,0,0,3,2,199698,5,10,5,0,0,15,0,<=50K
24,0,0,0,0,2,191954,5,10,8,0,0,40,0,<=50K
77,0,0,1,1,1,138714,5,10,5,0,0,40,0,<=50K
22,1,0,1,5,2,399087,11,3,8,0,0,40,4,<=50K
29,1,0,0,0,2,423158,5,10,9,0,0,40,0,<=50K
62,1,0,6,0,2,159841,1,9,4,0,0,24,0,<=50K
39,0,0,1,1,1,174308,1,9,1,0,0,40,0,<=50K
43,0,0,1,1,2,50356,5,10,10,0,1485,50,0,<=50K
35,0,0,2,0,2,186110,1,9,6,0,0,45,0,<=50K
29,1,0,0,0,2,200381,2,7,1,0,0,40,0,<=50K
76,0,0,1,1,1,174309,3,14,10,0,0,10,0,<=50K
63,0,0,1,1,1,78383,1,9,7,0,0,45,0,<=50K
43,1,0,1,2,2,187728,5,10,3,0,1887,50,0,>50K
58,0,0,1,1,1,321171,1,9,2,0,0,40,0,<=50K
66,0,0,0,0,2,127921,1,9,6,2050,0,55,0,<=50K
41,0,1,0,0,2,206565,5,10,10,0,0,45,0,<=50K
26,0,0,0,0,2,224563,0,13,0,0,0,40,0,<=50K
47,0,0,0,0,2,178686,9,11,4,0,0,40,0,<=50K
55,0,0,1,1,4,98545,12,6,0,0,0,40,0,<=50K
53,0,0,1,1,2,242606,1,9,6,0,0,40,0,<=50K
17,0,0,0,5,2,270942,11,3,4,0,0,48,4,<=50K
30,0,0,0,5,2,94235,1,9,10,0,0,40,0,<=50K
49,0,0,0,0,2,71195,3,14,3,0,0,60,0,<=50K
19,0,1,0,4,2,104112,1,9,5,0,0,30,19,<=50K
45,0,1,1,1,2,261192,1,9,4,0,0,40,0,<=50K
26,0,0,0,0,2,94936,6,12,5,0,0,40,0,<=50K
38,0,0,1,1,2,296478,9,11,10,7298,0,40,0,>50K
36,0,0,1,1,0,119272,1,9,11,7298,0,40,0,>50K
33,0,0,0,0,2,85043,1,9,7,0,0,20,0,<=50K
22,1,1,0,3,0,293364,5,10,11,0,0,40,0,<=50K
43,0,0,0,0,1,241895,0,13,5,0,0,42,0,<=50K
56,0,0,3,0,2,101128,6,12,4,0,0,25,10,<=50K
31,0,0,0,3,2,156464,0,13,3,0,0,25,0,<=50K
33,0,0,1,1,2,117963,0,13,1,0,0,40,0,>50K
26,0,0,1,1,2,192262,1,9,4,0,0,40,0,<=50K
33,0,0,1,1,2,111363,0,13,1,0,0,40,0,>50K
46,0,0,1,1,4,329752,2,7,6,0,0,30,0,<=50K
38,0,0,1,1,3,95432,1,9,0,0,0,40,0,>50K
65,0,4,6,4,2,161400,2,7,4,0,0,40,0,<=50K
40,0,0,1,1,2,96129,9,11,9,0,0,40,0,>50K
42,1,0,1,2,2,111949,1,9,0,0,0,35,0,<=50K
26,0,0,1,1,1,117125,4,5,10,0,0,40,20,<=50K
36,1,0,1,2,2,348022,12,6,4,0,0,24,0,<=50K
62,0,0,1,1,2,270092,3,14,3,0,0,40,0,>50K
43,0,0,1,1,2,180609,0,13,6,0,0,45,0,<=50K
43,0,0,2,0,2,174575,0,13,1,0,1564,45,0,>50K
22,0,0,3,0,2,410439,1,9,5,0,0,55,0,<=50K
28,0,0,1,1,2,92262,1,9,10,0,0,40,0,<=50K
56,0,0,1,1,1,183081,5,10,5,0,0,45,0,<=50K
22,1,0,0,0,2,362589,6,12,5,0,0,15,0,<=50K
57,1,0,2,0,2,212448,0,13,1,0,0,45,0,>50K
39,1,0,2,4,2,481060,1,9,5,0,0,40,0,<=50K
26,1,0,0,4,3,185885,5,10,0,0,0,15,0,<=50K
17,0,0,0,3,2,89821,2,7,4,0,0,10,0,<=50K
40,0,0,1,1,0,184018,9,11,8,0,0,38,0,>50K
45,0,1,1,1,2,256649,1,9,8,0,0,40,0,<=50K
44,0,1,0,0,2,160323,1,9,10,0,0,40,0,<=50K
20,1,0,0,3,4,350845,5,10,0,0,0,10,0,<=50K
33,1,0,1,2,2,267404,1,9,10,0,0,40,0,<=50K
23,0,0,0,0,2,35633,5,10,5,0,0,40,0,<=50K
46,0,0,2,0,1,80914,3,14,1,0,0,30,0,<=50K
38,0,0,1,1,2,172927,1,9,5,0,0,50,0,<=50K
54,0,0,2,0,2,174319,1,9,6,0,0,40,0,<=50K
46,1,0,2,0,2,214955,11,3,10,0,2339,45,0,<=50K
25,0,0,1,1,2,344991,5,10,10,0,0,40,0,<=50K
46,1,0,2,0,2,108699,5,10,5,0,0,40,0,<=50K
36,1,0,1,2,4,117312,5,10,6,0,0,40,0,<=50K
23,1,0,0,0,2,396099,1,9,4,0,0,25,0,<=50K
29,0,0,4,0,2,134152,1,9,8,0,0,40,0,<=50K
44,1,0,1,2,2,162028,5,10,0,0,2415,6,0,>50K
19,1,0,0,3,2,25429,5,10,0,0,0,16,0,<=50K
19,1,0,0,5,2,232392,1,9,4,0,0,40,0,<=50K
35,1,0,1,2,2,220098,1,9,4,0,0,40,0,>50K
27,0,0,0,0,2,301302,0,13,10,0,0,50,0,<=50K
46,0,0,4,0,1,277946,6,12,10,0,0,40,0,<=50K
34,1,0,0,0,2,196164,1,9,4,0,0,35,0,<=50K
44,0,0,1,1,2,115562,5,10,9,0,0,40,0,<=50K
45,1,0,2,4,2,96975,5,10,2,0,0,40,0,<=50K
25,0,0,1,1,2,86872,0,13,1,0,0,55,0,>50K
52,0,0,1,1,5,132178,0,13,1,0,0,50,0,>50K
20,0,0,0,3,2,416103,5,10,2,0,0,40,0,<=50K
28,1,0,0,0,2,108574,5,10,4,0,0,40,0,<=50K
50,0,0,1,1,0,288353,0,13,11,0,0,40,0,>50K
34,1,0,2,0,2,227689,9,11,9,0,0,64,0,<=50K
28,0,4,1,1,2,166481,7,4,2,0,2179,40,5,<=50K
41,0,0,1,1,2,445382,3,14,1,0,1977,65,0,>50K
28,0,0,1,1,2,110145,1,9,0,0,0,40,0,<=50K
46,0,0,1,1,1,317253,1,9,10,0,0,25,0,<=50K
32,0,0,1,1,2,364657,5,10,1,0,0,50,0,<=50K
41,1,1,2,0,4,42346,5,10,4,0,0,24,0,<=50K
24,1,1,0,4,2,241951,1,9,2,0,0,40,0,<=50K
33,1,0,2,4,2,118500,5,10,1,0,0,40,0,<=50K
46,0,0,1,1,2,188386,8,16,1,15024,0,60,0,>50K
31,0,0,1,1,0,1033222,5,10,8,0,0,40,0,<=50K
35,0,0,2,0,2,92440,14,8,10,0,0,50,0,>50K
52,0,0,1,1,2,190762,15,2,8,0,0,40,4,<=50K
30,1,0,0,3,2,426017,2,7,4,0,0,19,0,<=50K
34,0,1,4,0,4,243867,2,7,8,0,0,40,0,<=50K
34,1,0,2,4,0,240283,1,9,6,0,0,40,0,<=50K
20,0,0,1,1,2,61777,5,10,5,0,0,30,0,<=50K
17,0,0,0,3,2,175024,2,7,2,2176,0,18,0,<=50K
32,1,0,1,2,0,92003,0,13,1,0,0,40,0,>50K
29,0,0,2,0,2,188401,1,9,7,0,0,40,0,<=50K
33,1,0,0,4,2,228528,12,6,10,0,0,35,0,<=50K
25,0,0,1,1,2,133373,1,9,6,0,0,60,0,<=50K
36,0,0,0,0,3,255191,3,14,3,0,1408,40,0,<=50K
23,0,0,0,0,2,204653,1,9,2,0,0,72,21,<=50K
63,0,0,1,1,5,222289,1,9,1,0,0,40,0,>50K
47,0,0,1,1,4,287480,3,14,3,0,0,40,0,<=50K
40,1,0,3,0,1,204116,0,13,3,2174,0,40,0,<=50K
30,1,0,1,2,2,29662,6,12,4,0,0,25,0,>50K
27,0,2,0,3,2,116358,5,10,10,0,1980,40,11,<=50K
33,0,0,1,1,2,208405,3,14,3,0,0,50,0,>50K
34,0,1,0,0,4,284843,1,9,7,594,0,60,0,<=50K
34,1,0,0,0,4,117018,5,10,11,0,0,40,0,<=50K
23,0,0,1,1,2,81281,5,10,0,0,0,40,0,<=50K
42,1,0,1,2,4,340148,5,10,0,0,0,40,0,<=50K
29,0,0,0,0,2,363425,0,13,3,0,0,40,0,<=50K
